target_month,actual,S1_Day7,S2_Day14,S3_Day21,S4_MonthEnd
2024-06,22.8,20.849209586922825,21.962920451487488,21.81416215686287,21.91569911792344
2024-07,20.9,20.93796233494949,20.947071080222244,21.37466208148271,21.334203832100872
2024-08,20.4,24.14988423881708,23.74566063796264,23.8494339152993,23.6597803395882
2024-09,21.5,24.021905912977,23.11355471117713,23.040609664255165,22.953812517643968
2024-10,22.1,25.00631810314795,24.97961816076131,19.70286624157842,20.16109707509084
2024-11,23.0,18.4538168889352,20.58664896021028,20.5801060220332,20.61724739807098
2024-12,23.8,19.535077488353814,19.48827164201379,20.67138776105748,21.281419844932014
2025-01,23.5,19.759433864686883,22.455456192296896,21.915235899164376,22.45671514621941
2025-02,23.1,22.824377773324933,23.24138018518236,22.870327269170865,23.27442298831721
2025-03,22.4,24.15950216096541,24.25906979117936,24.584062741384027,24.877376282223484
2025-04,21.2,25.42286582454951,23.222343431199462,23.18179208600215,23.63552738236969
2025-05,18.4,20.74795263016152,20.864392160888777,18.73506384690038,19.390596286405405
2025-06,13.7,16.10464048792184,16.663812671613098,15.182623672678975,16.438985793339356
2025-07,12.1,14.046553387187457,13.930199089609662,14.339154009960842,14.331939510830315
2025-08,11.5,15.31575054325305,14.5139035571499,14.8334762005093,14.695912839995165
2025-09,9.4,13.058223865714249,12.917801659145312,13.632678376473104,13.227847708197448
2025-10,8.0,13.738949316661998,13.671793672777463,9.901009643072411,9.738772300877452
2025-11,6.3,7.430332171072429,6.971545542406332,7.296807484326706,6.834487378134724
2025-12,5.4,6.019592383545591,6.157183904958585,4.034569147560485,4.525554154849165
2026-01,3.8,4.205814174725142,3.9449899656944787,3.868206068671687,4.255684834364626
2026-02,3.3,2.6488461088055137,2.747790003260242,2.7390083511946717,2.427767686384885
2026-03,3.2,2.8695266455696533,2.820741964996909,4.01464987371869,2.447213454449493
2026-04,3.4,1.8666775199830399,1.857903202310096,2.2147554881417175,2.304162673637178
2026-05,3.7,2.655742065896183,2.6622855306313475,2.7215655703018093,2.3752960489989317
2026-06,5.3,4.84268506225356,4.776379944948195,5.234860330918734,5.560877906006079
2026-07,4.6,4.6148236793221775,4.611068348102276,4.262608486505015,3.805164954092488
2026-08,5.0,5.089923256293161,5.117789468018175,5.961325850249799,5.417002154959238
